topic_category,num_questions,num_correct,accuracy,precision,recall,f1
overall,97,87,0.8969072164948454,1.0,0.8969072164948454,0.9456521739130435
diagnosis,50,46,0.92,1.0,0.92,0.9583333333333334
treatment,47,41,0.8723404255319149,1.0,0.8723404255319149,0.9318181818181818
