topic_category,num_questions,num_correct,accuracy,precision,recall,f1
overall,97,89,0.9175257731958762,1.0,0.9175257731958762,0.956989247311828
diagnosis,50,44,0.88,1.0,0.88,0.9361702127659575
treatment,47,45,0.9574468085106383,1.0,0.9574468085106383,0.9782608695652174
