topic_category,num_questions,num_correct,accuracy,precision,recall,f1
overall,213,198,0.9295774647887324,1.0,0.9295774647887324,0.9635036496350365
disorders,116,105,0.9051724137931034,1.0,0.9051724137931034,0.9502262443438914
treatments,74,70,0.9459459459459459,1.0,0.9459459459459459,0.9722222222222222
symptoms,23,23,1.0,1.0,1.0,1.0
