topic_category,num_questions,num_correct,accuracy,precision,recall,f1
overall,97,83,0.8556701030927835,1.0,0.8556701030927835,0.9222222222222223
diagnosis,50,43,0.86,1.0,0.86,0.9247311827956989
treatment,47,40,0.851063829787234,1.0,0.851063829787234,0.9195402298850575
