topic_category,num_questions,num_correct,accuracy,precision,recall,f1
overall,213,191,0.8967136150234741,1.0,0.8967136150234741,0.9455445544554455
disorders,116,102,0.8793103448275862,1.0,0.8793103448275862,0.9357798165137615
treatments,74,66,0.8918918918918919,1.0,0.8918918918918919,0.9428571428571428
symptoms,23,23,1.0,1.0,1.0,1.0
