topic_category,num_questions,num_correct,accuracy,precision,recall,f1
overall,97,80,0.8247422680412371,1.0,0.8247422680412371,0.903954802259887
diagnosis,50,43,0.86,1.0,0.86,0.9247311827956989
treatment,47,37,0.7872340425531915,1.0,0.7872340425531915,0.8809523809523809
