topic_category,num_questions,num_correct,accuracy,precision,recall,f1
overall,213,196,0.92018779342723,1.0,0.92018779342723,0.9584352078239609
disorders,116,106,0.9137931034482759,1.0,0.9137931034482759,0.954954954954955
treatments,74,68,0.918918918918919,1.0,0.918918918918919,0.9577464788732394
symptoms,23,22,0.9565217391304348,1.0,0.9565217391304348,0.9777777777777777
