topic_category,num_questions,num_correct,accuracy,precision,recall,f1
overall,213,193,0.9061032863849765,1.0,0.9061032863849765,0.9507389162561576
disorders,116,103,0.8879310344827587,1.0,0.8879310344827587,0.9406392694063926
treatments,74,67,0.9054054054054054,1.0,0.9054054054054054,0.950354609929078
symptoms,23,23,1.0,1.0,1.0,1.0
