topic_category,num_questions,num_correct,accuracy,precision,recall,f1
overall,97,84,0.865979381443299,1.0,0.865979381443299,0.9281767955801105
diagnosis,50,45,0.9,1.0,0.9,0.9473684210526315
treatment,47,39,0.8297872340425532,1.0,0.8297872340425532,0.9069767441860465
